ticker,anndats,permno,surprise,surprise_quintile,beat,medest,actual_eps,numest,stdev,car_m1_p1,car_0_p30,car_0_p60,ann_year,sic_code,at,mkvalt,ni,mkcap_quintile,sector,revision_30d,revision_60d,dispersion,num_analysts,prior_surprise,prev_ann,days_since_last
GWW,2020-01-30,52695,-0.009169054441260753,Inline,0,17.45,17.29,19.0,0.14,-0.04984959783046006,0.0019478603813278816,-0.015090362705842186,2020,5000.0,6295.0,21447.6502,695.0,Q4,Wholesale,0.0,0.0,0.008022922636103153,19.0,0.023284313725490134,2019-01-24,371.0
GWW,2021-02-03,52695,-0.01281269066503971,Inline,0,16.39,16.18,20.0,0.15,-0.02179753740331447,0.06622128120620085,0.08110835294331342,2021,5000.0,6592.0,26544.2528,1043.0,Q5,Wholesale,0.0,0.0024464831804280824,0.009151921903599756,20.0,-0.009169054441260753,2020-01-30,370.0
GWW,2022-02-03,52695,0.012244897959183593,Inline,1,19.6,19.84,15.0,0.14,-0.004340602426811002,0.01839829960221606,0.07189088222794204,2022,5000.0,7588.0,27954.9,1547.0,Q5,Wholesale,0.0,0.0025575447570332843,0.007142857142857143,15.0,-0.01281269066503971,2021-02-03,365.0
GWW,2023-02-02,52695,0.005423728813559327,Inline,1,29.5,29.66,15.0,0.22,0.13191712719363702,0.1845407216479169,0.17411013320719704,2023,5000.0,8147.0,40868.5047,1829.0,Q5,Wholesale,0.0,0.0016977928692699733,0.007457627118644068,15.0,0.012244897959183593,2022-02-03,364.0
HAL,2010-01-25,23819,-0.007751937984496131,Inline,0,1.29,1.28,24.0,0.03,-0.028911320097931625,-0.054491500859692454,-0.037782991001950594,2010,1389.0,18297.0,37155.3,1835.0,Q5,Mining,0.0,-0.007692307692307699,0.023255813953488372,24.0,,,
HAL,2011-01-24,23819,0.0248756218905474,Beat,1,2.01,2.06,36.0,0.03,0.021916797008313393,0.12407235037197872,0.21030861045183702,2011,1389.0,23677.0,31783.71,2839.0,Q5,Mining,0.0,0.004999999999999893,0.01492537313432836,36.0,-0.007751937984496131,2010-01-25,364.0
HAL,2012-01-23,23819,0.002985074626865608,Inline,1,3.35,3.36,32.0,0.03,0.0012811126984457744,-0.07609608738261586,-0.09863883601783086,2012,1389.0,27410.0,32227.01,2635.0,Q5,Mining,0.0,0.0,0.008955223880597014,32.0,0.0248756218905474,2011-01-24,364.0
HAL,2013-01-25,23819,0.00673400673400674,Inline,1,2.97,2.99,35.0,0.07,0.06126203995141655,0.07456370308217375,0.009950103410308664,2013,1389.0,29223.0,43086.75,2125.0,Q5,Mining,0.0,0.0,0.02356902356902357,35.0,0.002985074626865608,2012-01-23,368.0
HAL,2014-01-21,23819,0.012861736334405157,Inline,1,3.11,3.15,30.0,0.43,-0.00847650109111786,0.084512578091118,0.18333994670705178,2014,1389.0,32240.0,33351.84,3500.0,Q5,Mining,0.0,-0.003205128205128279,0.1382636655948553,30.0,0.00673400673400674,2013-01-25,361.0
HAL,2015-01-20,23819,0.025510204081632563,Beat,1,3.92,4.02,34.0,0.05,0.07056220203123198,0.05881970649126966,0.1607786358559431,2015,1389.0,36942.0,29138.24,-671.0,Q5,Mining,0.0,-0.024875621890547178,0.012755102040816327,34.0,0.012861736334405157,2014-01-21,364.0
HAL,2016-01-25,23819,0.054054054054054106,Beat,1,1.48,1.56,37.0,0.03,-0.032713416366113135,0.10089995513641492,0.20758581293886125,2016,1389.0,27000.0,46841.94,-5763.0,Q5,Mining,0.0,0.0,0.02027027027027027,37.0,0.025510204081632563,2015-01-20,370.0
HAL,2017-01-23,23819,0.5,Large Beat,1,-0.04,-0.02,39.0,0.01,0.013231999598535271,-0.09264413493281898,-0.18132854371488194,2017,1389.0,25085.0,42663.51,-463.0,Q5,Mining,0.0,0.20000000000000004,0.25,39.0,0.054054054054054106,2016-01-25,364.0
HAL,2018-01-22,23819,0.05172413793103453,Beat,1,1.16,1.22,26.0,0.03,0.06907208423318423,-0.10410241711633683,0.01752048641409565,2018,1389.0,25982.0,23151.18,1656.0,Q5,Mining,0.0,0.008695652173913052,0.02586206896551724,26.0,0.5,2017-01-23,364.0
HAL,2019-01-22,23819,0.02150537634408592,Beat,1,1.86,1.9,34.0,0.01,0.0064370067049490665,-0.13397127466706604,-0.09099039750466864,2019,1389.0,25377.0,21484.66,-1131.0,Q4,Mining,0.0,0.0,0.005376344086021505,34.0,0.05172413793103453,2018-01-22,365.0
HAL,2020-01-21,23819,0.024793388429752088,Beat,1,1.21,1.24,28.0,0.02,0.005203207953100142,-0.30899943838598265,-0.6291082888196232,2020,1389.0,20680.0,16726.5,-2945.0,Q4,Mining,0.0,0.0,0.01652892561983471,28.0,0.02150537634408592,2019-01-22,364.0
HAL,2021-01-19,23819,0.04838709677419359,Beat,1,0.62,0.65,28.0,0.02,-0.08833663191897545,0.06423313825417232,-0.06554108314704854,2021,1389.0,22321.0,20491.52,1457.0,Q4,Mining,0.0,0.0,0.03225806451612903,28.0,0.024793388429752088,2020-01-21,364.0
HAL,2022-01-24,23819,0.009345794392523372,Inline,1,1.07,1.08,29.0,0.02,0.1175639655086711,0.396182630444627,0.40288588851734586,2022,1389.0,23255.0,35493.7,1572.0,Q5,Mining,0.0,0.0,0.018691588785046728,29.0,0.04838709677419359,2021-01-19,370.0
HAL,2023-01-24,23819,0.023809523809523725,Beat,1,2.1,2.15,24.0,0.03,-0.027020844969752322,-0.07611049432523176,-0.17508973304335906,2023,1389.0,24683.0,32137.35,2638.0,Q5,Mining,0.0,0.0,0.014285714285714285,24.0,0.009345794392523372,2022-01-24,365.0
HANS,2016-02-25,88031,-0.8382142857142857,Large Miss,0,3.08,0.4983,12.0,0.04,-0.0007626634142785527,-0.06398318963354643,0.03299566295501655,2016,,,,,Q3,Unknown,0.0,0.0,0.012987012987012986,12.0,,,
HANS,2017-03-01,88031,-0.4758064516129032,Large Miss,0,1.24,0.65,17.0,0.02,0.12264000415266452,0.09946943182364554,0.19523870706487356,2017,,,,,Q3,Unknown,0.0,0.0,0.016129032258064516,17.0,-0.8382142857142857,2016-02-25,370.0
HANS,2018-02-28,88031,-0.5304054054054055,Large Miss,0,1.48,0.695,17.0,0.02,-0.14554036164705708,-0.09972053740760978,-0.23082793703246962,2018,,,,,Q3,Unknown,0.0,0.0,0.013513513513513514,17.0,-0.4758064516129032,2017-03-01,364.0
HANS,2019-02-27,88031,-0.4915254237288135,Large Miss,0,1.77,0.9,16.0,0.03,0.0942858475351891,-0.09419854381187209,0.06805920627307227,2019,,,,,Q3,Unknown,0.0,0.0,0.01694915254237288,16.0,-0.5304054054054055,2018-02-28,364.0
HANS,2020-02-27,88031,-0.5,Large Miss,0,2.04,1.02,16.0,0.02,-0.009605353470603428,0.034072344632622986,0.09676931770621611,2020,,,,,Q3,Unknown,0.0,0.0,0.00980392156862745,16.0,-0.4915254237288135,2019-02-27,365.0
